,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover,timestamp
0,18355717,BTCUSDT,1,1,1637157600,1637157600,11.596,60121.5,60220.0,60121.0,60220.0,697909.143,2021-11-17 14:00:00
1,18356121,BTCUSDT,1,1,1637157660,1637157660,5.59,60220.0,60224.5,60219.5,60224.5,336631.0755,2021-11-17 14:01:00
2,18356179,BTCUSDT,1,1,1637157720,1637157720,18.754,60224.5,60235.0,60224.5,60235.0,1129609.738,2021-11-17 14:02:00
3,18356237,BTCUSDT,1,1,1637157780,1637157780,22.629,60235.0,60300.0,60234.5,60299.5,1363854.3435,2021-11-17 14:03:00
4,18356353,BTCUSDT,1,1,1637157840,1637157840,13.66,60299.5,60326.5,60288.0,60288.0,823892.214,2021-11-17 14:04:00
5,18356412,BTCUSDT,1,1,1637157900,1637157900,11.287,60288.0,60288.5,60240.0,60240.0,680196.908,2021-11-17 14:05:00
6,18356528,BTCUSDT,1,1,1637157960,1637157960,9.171,60240.0,60275.0,60221.5,60275.0,552354.527,2021-11-17 14:06:00
7,18356643,BTCUSDT,1,1,1637158020,1637158020,11.36,60275.0,60275.0,60263.0,60263.0,684675.2155,2021-11-17 14:07:00
8,18356701,BTCUSDT,1,1,1637158080,1637158080,12.538,60263.0,60263.5,60208.5,60226.0,755170.3865,2021-11-17 14:08:00
9,18356759,BTCUSDT,1,1,1637158140,1637158140,14.422,60226.0,60226.5,60226.0,60226.5,868580.6785,2021-11-17 14:09:00
10,18356875,BTCUSDT,1,1,1637158200,1637158200,3.184,60226.5,60226.5,60226.0,60226.0,191760.5225,2021-11-17 14:10:00
11,18356991,BTCUSDT,1,1,1637158260,1637158260,9.05,60226.0,60268.5,60226.0,60245.5,545223.146,2021-11-17 14:11:00
12,18357049,BTCUSDT,1,1,1637158320,1637158320,7.68,60245.5,60245.5,60202.0,60202.0,462513.111,2021-11-17 14:12:00
13,18357165,BTCUSDT,1,1,1637158380,1637158380,10.58,60202.0,60202.5,60199.0,60199.0,636920.2375,2021-11-17 14:13:00
14,18357223,BTCUSDT,1,1,1637158440,1637158440,4.609,60199.0,60199.5,60184.5,60184.5,277431.8225,2021-11-17 14:14:00
15,18357284,BTCUSDT,1,1,1637158500,1637158500,19.998,60184.5,60237.0,60183.5,60236.5,1203860.866,2021-11-17 14:15:00
16,18357513,BTCUSDT,1,1,1637158560,1637158560,9.949,60236.5,60237.0,60195.0,60195.0,599135.76,2021-11-17 14:16:00
17,18357571,BTCUSDT,1,1,1637158620,1637158620,23.534,60195.0,60195.5,60129.5,60129.5,1415545.033,2021-11-17 14:17:00
18,18357629,BTCUSDT,1,1,1637158680,1637158680,9.246,60129.5,60130.0,60129.0,60129.5,555959.415,2021-11-17 14:18:00
19,18357745,BTCUSDT,1,1,1637158740,1637158740,6.241,60129.5,60163.5,60129.0,60151.5,375302.7045,2021-11-17 14:19:00
20,18357803,BTCUSDT,1,1,1637158800,1637158800,35.042,60151.5,60236.0,60151.5,60235.5,2109304.646,2021-11-17 14:20:00
21,18357919,BTCUSDT,1,1,1637158860,1637158860,5.518,60235.5,60235.5,60160.0,60160.0,332199.381,2021-11-17 14:21:00
22,18358035,BTCUSDT,1,1,1637158920,1637158920,26.614,60160.0,60174.0,60138.5,60173.5,1600812.7995,2021-11-17 14:22:00
23,18358093,BTCUSDT,1,1,1637158980,1637158980,7.126,60173.5,60184.0,60168.5,60183.5,428794.9795,2021-11-17 14:23:00
24,18358152,BTCUSDT,1,1,1637159040,1637159040,8.429,60183.5,60184.0,60141.5,60146.5,507154.1845,2021-11-17 14:24:00
25,18358268,BTCUSDT,1,1,1637159100,1637159100,50.109,60146.5,60147.0,60078.0,60095.5,3011644.4145,2021-11-17 14:25:00
26,18358383,BTCUSDT,1,1,1637159160,1637159160,104.598,60095.5,60160.0,60001.0,60149.0,6283545.039,2021-11-17 14:26:00
27,18358442,BTCUSDT,1,1,1637159220,1637159220,50.086,60149.0,60300.0,60148.5,60300.0,3017240.3365,2021-11-17 14:27:00
28,18358557,BTCUSDT,1,1,1637159280,1637159280,52.019,60300.0,60302.0,60241.0,60245.0,3135650.386,2021-11-17 14:28:00
29,18358615,BTCUSDT,1,1,1637159340,1637159340,43.4,60245.0,60280.0,60245.0,60259.5,2615013.0825,2021-11-17 14:29:00
30,18358676,BTCUSDT,1,1,1637159400,1637159400,18.916,60259.5,60280.0,60177.5,60191.0,1139591.0235,2021-11-17 14:30:00
31,18358963,BTCUSDT,1,1,1637159460,1637159460,18.482,60191.0,60220.5,60138.0,60139.0,1111947.3245,2021-11-17 14:31:00
32,18359021,BTCUSDT,1,1,1637159520,1637159520,19.856,60139.0,60139.0,60083.0,60084.0,1193374.3785,2021-11-17 14:32:00
33,18359080,BTCUSDT,1,1,1637159580,1637159580,70.666,60084.0,60084.0,60000.0,60000.0,4242037.542,2021-11-17 14:33:00
34,18359195,BTCUSDT,1,1,1637159640,1637159640,137.845,60000.0,60000.5,59914.5,59944.5,8265571.274,2021-11-17 14:34:00
35,18359254,BTCUSDT,1,1,1637159700,1637159700,121.818,59944.5,60075.0,59944.0,60040.5,7309676.2235,2021-11-17 14:35:00
36,18359369,BTCUSDT,1,1,1637159760,1637159760,39.791,60040.5,60095.0,60040.5,60057.0,2390401.043,2021-11-17 14:36:00
37,18359485,BTCUSDT,1,1,1637159820,1637159820,25.009,60057.0,60077.5,60031.5,60032.0,1501894.787,2021-11-17 14:37:00
38,18359543,BTCUSDT,1,1,1637159880,1637159880,25.353,60032.0,60032.0,59976.0,59976.0,1521376.832,2021-11-17 14:38:00
39,18359601,BTCUSDT,1,1,1637159940,1637159940,91.855,59976.0,59976.5,59853.5,59855.0,5502953.8515,2021-11-17 14:39:00
40,18359718,BTCUSDT,1,1,1637160000,1637160000,50.134,59855.0,59910.5,59855.0,59900.0,3001733.681,2021-11-17 14:40:00
41,18359833,BTCUSDT,1,1,1637160060,1637160060,18.908,59900.0,59975.0,59900.0,59975.0,1133276.158,2021-11-17 14:41:00
