timestamp,op,hi,lo,cl,volume
2021-10-31 16:17:00+00:00,60371.5,60372.0,60360.0,60360.0,13.14
2021-10-31 16:18:00+00:00,60360.0,60360.5,60340.0,60340.5,5.675
2021-10-31 16:19:00+00:00,60340.5,60350.0,60292.5,60349.5,28.749
2021-10-31 16:20:00+00:00,60349.5,60360.0,60349.5,60360.0,5.058
2021-10-31 16:21:00+00:00,60360.0,60360.0,60359.5,60359.5,7.36
2021-10-31 16:22:00+00:00,60359.5,60360.0,60359.5,60360.0,4.539
2021-10-31 16:23:00+00:00,60360.0,60360.0,60359.5,60360.0,6.362
2021-10-31 16:24:00+00:00,60360.0,60360.0,60359.5,60359.5,20.625
2021-10-31 16:25:00+00:00,60359.5,60383.0,60359.5,60382.5,17.345
2021-10-31 16:26:00+00:00,60382.5,60400.0,60382.5,60400.0,12.474
2021-10-31 16:27:00+00:00,60400.0,60460.0,60399.5,60460.0,9.087
2021-10-31 16:28:00+00:00,60460.0,60590.0,60459.5,60560.0,57.559
2021-10-31 16:29:00+00:00,60560.0,60602.0,60523.0,60601.5,35.188
2021-10-31 16:30:00+00:00,60601.5,60631.0,60601.5,60627.0,30.102
2021-10-31 16:31:00+00:00,60627.0,60635.0,60615.0,60615.0,10.487
2021-10-31 16:32:00+00:00,60615.0,60615.5,60549.0,60561.0,14.787
2021-10-31 16:33:00+00:00,60561.0,60600.0,60555.0,60555.5,11.286
2021-10-31 16:34:00+00:00,60555.5,60574.5,60539.0,60574.5,26.438
2021-10-31 16:35:00+00:00,60574.5,60574.5,60574.0,60574.0,6.269
2021-10-31 16:36:00+00:00,60574.0,60574.5,60544.0,60549.0,7.231
2021-10-31 16:37:00+00:00,60549.0,60549.0,60548.5,60548.5,4.374
2021-10-31 16:38:00+00:00,60548.5,60549.0,60512.5,60512.5,28.364
2021-10-31 16:39:00+00:00,60512.5,60513.0,60512.5,60513.0,9.89
2021-10-31 16:40:00+00:00,60513.0,60549.0,60512.5,60548.5,6.486
2021-10-31 16:41:00+00:00,60548.5,60573.0,60548.5,60573.0,3.715
2021-10-31 16:42:00+00:00,60573.0,60601.0,60572.5,60600.5,6.055
2021-10-31 16:43:00+00:00,60600.5,60633.0,60600.5,60633.0,8.094
2021-10-31 16:44:00+00:00,60633.0,60637.0,60632.5,60637.0,8.051
2021-10-31 16:45:00+00:00,60637.0,60666.0,60633.0,60633.5,41.135
2021-10-31 16:46:00+00:00,60633.5,60652.0,60633.0,60651.5,17.306
2021-10-31 16:47:00+00:00,60651.5,60684.0,60651.5,60683.5,11.011
2021-10-31 16:48:00+00:00,60683.5,60684.0,60655.0,60674.5,9.995
2021-10-31 16:49:00+00:00,60674.5,60720.0,60674.5,60719.5,13.323
2021-10-31 16:50:00+00:00,60719.5,60720.0,60664.5,60674.0,31.618
2021-10-31 16:51:00+00:00,60674.0,60700.0,60673.5,60700.0,13.472
2021-10-31 16:52:00+00:00,60700.0,60700.0,60699.5,60700.0,5.017
2021-10-31 16:53:00+00:00,60700.0,60710.0,60699.5,60710.0,4.3
2021-10-31 16:54:00+00:00,60710.0,60715.0,60709.5,60714.5,7.783
2021-10-31 16:55:00+00:00,60714.5,60715.0,60714.5,60714.5,14.569
2021-10-31 16:56:00+00:00,60714.5,60715.0,60685.0,60715.0,9.729
2021-10-31 16:57:00+00:00,60715.0,60744.5,60714.5,60730.5,28.753
2021-10-31 16:58:00+00:00,60730.5,60737.0,60730.5,60737.0,8.872
2021-10-31 16:59:00+00:00,60737.0,60739.0,60720.0,60720.5,14.243
2021-10-31 17:00:00+00:00,60720.5,60724.5,60720.0,60724.5,4.043
2021-10-31 17:01:00+00:00,60724.5,60726.5,60677.5,60688.0,37.321
2021-10-31 17:02:00+00:00,60688.0,60688.0,60635.0,60635.0,23.869
2021-10-31 17:03:00+00:00,60635.0,60635.5,60623.0,60623.5,5.695
2021-10-31 17:04:00+00:00,60623.5,60623.5,60623.0,60623.5,3.259
2021-10-31 17:05:00+00:00,60623.5,60623.5,60623.0,60623.0,7.215
2021-10-31 17:06:00+00:00,60623.0,60623.5,60623.0,60623.0,9.036
2021-10-31 17:07:00+00:00,60623.0,60623.5,60606.0,60611.0,8.566
2021-10-31 17:08:00+00:00,60611.0,60611.5,60611.0,60611.5,3.022
2021-10-31 17:09:00+00:00,60611.5,60611.5,60606.0,60606.5,5.514
2021-10-31 17:10:00+00:00,60606.5,60606.5,60594.0,60605.5,13.539
2021-10-31 17:11:00+00:00,60605.5,60636.0,60605.5,60630.5,4.324
2021-10-31 17:12:00+00:00,60630.5,60630.5,60630.0,60630.5,7.488
2021-10-31 17:13:00+00:00,60630.5,60630.5,60630.0,60630.0,1.477
2021-10-31 17:14:00+00:00,60630.0,60630.5,60622.5,60623.0,2.226
2021-10-31 17:15:00+00:00,60623.0,60623.0,60622.5,60622.5,3.884
2021-10-31 17:16:00+00:00,60622.5,60727.0,60622.5,60726.5,14.375
2021-10-31 17:17:00+00:00,60726.5,60852.5,60726.5,60852.5,66.326
2021-10-31 17:18:00+00:00,60852.5,60877.5,60852.5,60861.5,28.041
2021-10-31 17:19:00+00:00,60861.5,60861.5,60840.0,60840.0,9.91
2021-10-31 17:20:00+00:00,60840.0,60840.5,60791.5,60792.0,7.84
2021-10-31 17:21:00+00:00,60792.0,60812.5,60791.5,60809.5,6.737
2021-10-31 17:22:00+00:00,60809.5,60830.0,60809.5,60829.5,5.94
2021-10-31 17:23:00+00:00,60829.5,60830.0,60822.0,60822.5,11.343
2021-10-31 17:24:00+00:00,60822.5,60990.0,60822.5,60971.0,96.63
2021-10-31 17:25:00+00:00,60971.0,60971.0,60901.0,60901.5,31.477
2021-10-31 17:26:00+00:00,60901.5,60915.0,60879.0,60915.0,48.214
2021-10-31 17:27:00+00:00,60915.0,60943.0,60914.5,60933.5,9.429
2021-10-31 17:28:00+00:00,60933.5,60933.5,60933.0,60933.0,4.937
2021-10-31 17:29:00+00:00,60933.0,60991.0,60933.0,60981.5,19.702
2021-10-31 17:30:00+00:00,60981.5,60981.5,60900.0,60900.0,14.718
2021-10-31 17:31:00+00:00,60900.0,60900.5,60880.0,60880.0,12.064
2021-10-31 17:32:00+00:00,60880.0,60889.0,60854.5,60880.5,41.995
2021-10-31 17:33:00+00:00,60880.5,60881.0,60853.0,60853.5,16.668
2021-10-31 17:34:00+00:00,60853.5,60853.5,60830.0,60830.5,50.807
2021-10-31 17:35:00+00:00,60830.5,60830.5,60782.5,60799.0,17.992
2021-10-31 17:36:00+00:00,60799.0,60873.5,60799.0,60831.0,39.054
2021-10-31 17:37:00+00:00,60831.0,60831.0,60799.0,60799.5,21.741
2021-10-31 17:38:00+00:00,60799.5,60799.5,60799.0,60799.5,6.767
2021-10-31 17:39:00+00:00,60799.5,60799.5,60773.0,60774.0,9.501
2021-10-31 17:40:00+00:00,60774.0,60774.0,60726.0,60726.0,54.384
2021-10-31 17:41:00+00:00,60726.0,60726.5,60680.0,60680.5,16.976
2021-10-31 17:42:00+00:00,60680.5,60680.5,60680.0,60680.5,6.108
2021-10-31 17:43:00+00:00,60680.5,60680.5,60680.0,60680.0,6.961
2021-10-31 17:44:00+00:00,60680.0,60680.5,60664.0,60679.5,25.853
2021-10-31 17:45:00+00:00,60679.5,60696.0,60674.0,60674.0,12.527
2021-10-31 17:46:00+00:00,60674.0,60674.5,60602.5,60648.5,45.906
2021-10-31 17:47:00+00:00,60648.5,60671.0,60648.5,60670.5,3.254
2021-10-31 17:48:00+00:00,60670.5,60736.0,60670.5,60736.0,12.663
2021-10-31 17:49:00+00:00,60736.0,60792.5,60735.5,60792.0,16.569
2021-10-31 17:50:00+00:00,60792.0,60792.5,60781.5,60781.5,3.365
2021-10-31 17:51:00+00:00,60781.5,60782.0,60781.5,60782.0,5.859
2021-10-31 17:52:00+00:00,60782.0,60782.0,60781.5,60782.0,3.309
2021-10-31 17:53:00+00:00,60782.0,60798.0,60781.5,60797.5,20.943
2021-10-31 17:54:00+00:00,60797.5,60799.5,60787.0,60787.0,7.617
2021-10-31 17:55:00+00:00,60787.0,60787.5,60693.0,60702.0,25.195
2021-10-31 17:56:00+00:00,60702.0,60745.0,60701.5,60744.5,6.866
2021-10-31 17:57:00+00:00,60744.5,60745.0,60720.0,60720.0,2.365
2021-10-31 17:58:00+00:00,60720.0,60720.5,60696.0,60696.5,15.452
2021-10-31 17:59:00+00:00,60696.5,60696.5,60681.0,60681.0,23.656
2021-10-31 18:00:00+00:00,60681.0,60681.5,60664.5,60664.5,28.015
2021-10-31 18:01:00+00:00,60664.5,60750.0,60664.5,60750.0,18.294
2021-10-31 18:02:00+00:00,60750.0,60750.0,60670.0,60671.0,9.854
2021-10-31 18:03:00+00:00,60671.0,60683.0,60670.0,60682.5,5.256
2021-10-31 18:04:00+00:00,60682.5,60700.0,60666.0,60666.0,3.885
2021-10-31 18:05:00+00:00,60666.0,60666.5,60640.0,60640.5,7.171
2021-10-31 18:06:00+00:00,60640.5,60640.5,60637.5,60638.0,27.248
2021-10-31 18:07:00+00:00,60638.0,60638.0,60604.0,60604.5,8.523
2021-10-31 18:08:00+00:00,60604.5,60604.5,60576.5,60585.0,14.053
2021-10-31 18:09:00+00:00,60585.0,60585.5,60580.0,60580.0,6.706
2021-10-31 18:10:00+00:00,60580.0,60580.5,60580.0,60580.5,5.038
2021-10-31 18:11:00+00:00,60580.5,60580.5,60573.5,60573.5,2.675
2021-10-31 18:12:00+00:00,60573.5,60574.0,60573.5,60573.5,4.965
2021-10-31 18:13:00+00:00,60573.5,60574.0,60551.0,60560.0,7.676
2021-10-31 18:14:00+00:00,60560.0,60560.0,60559.5,60559.5,4.03
2021-10-31 18:15:00+00:00,60559.5,60560.0,60513.0,60513.0,17.957
2021-10-31 18:16:00+00:00,60513.0,60513.5,60477.0,60477.0,14.136
2021-10-31 18:17:00+00:00,60477.0,60493.5,60477.0,60488.0,15.527
2021-10-31 18:18:00+00:00,60488.0,60488.0,60487.5,60488.0,6.109
2021-10-31 18:19:00+00:00,60488.0,60488.0,60457.0,60480.0,14.607
2021-10-31 18:20:00+00:00,60480.0,60560.0,60479.5,60559.5,22.401
2021-10-31 18:21:00+00:00,60559.5,60559.5,60494.0,60519.5,28.477
2021-10-31 18:22:00+00:00,60519.5,60520.0,60480.0,60480.5,18.155
2021-10-31 18:23:00+00:00,60480.5,60586.5,60480.0,60578.0,13.398
2021-10-31 18:24:00+00:00,60578.0,60597.0,60560.0,60560.5,12.029
2021-10-31 18:25:00+00:00,60560.5,60628.5,60560.0,60624.0,25.08
2021-10-31 18:26:00+00:00,60624.0,60624.0,60610.0,60610.0,5.709
2021-10-31 18:27:00+00:00,60610.0,60610.5,60610.0,60610.0,6.966
2021-10-31 18:28:00+00:00,60610.0,60610.5,60564.0,60564.5,23.763
2021-10-31 18:29:00+00:00,60564.5,60564.5,60522.0,60522.0,10.655
2021-10-31 18:30:00+00:00,60522.0,60522.5,60501.5,60520.0,6.838
